ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
369,Palando?ken-Ejder 3200 World Ski Center-,39.5430157,42.9152472,Turkey,Asia,0,November - April,3176,2200,19,11,13,43,0,0,3,11,2,16,15390,Yes,Yes,Yes,No,25,4,1,1,1,0,6,palando ken ejder 3200 world,,,,
370,Fellhorn-?Kanzelwand-Oberstdorf-?Riezlern,47.6099906,12.5088699,Austria,Europe,45,December - April,1967,920,13,19,2,34,4,110,7,6,4,17,22076,Yes,Yes,Yes,No,1,0,1,1,1,0,5,fellhorn kanzelwand oberstdorf riezlern,181.0,Fellhorn/Kanzelwand,1021.2,181.0
371,Idre Fja?ll,61.8896064,12.8330743,Sweden,Europe,40,October - April,890,588,17,22,2,41,3,0,21,4,0,25,24760,Yes,Yes,Yes,No,19,0,1,1,1,0,7,idre fja ll,258.0,Idre Fjäll,1002.3,258.0
372,Großglockner Resort Kals-Matrei,47.009935,12.6232,Austria,Europe,47,December - April,2422,933,8,22,6,36,7,0,9,5,3,17,18276,Yes,Yes,No,No,1,0,1,1,0,0,5,grossglockner kals matrei,176.0,Großglockner Resort Kals-Matrei,1022.8,176.0
373,Pamporovo,41.64619295,24.67356329,Bulgaria,Europe,28,December - April,1926,1620,17,6,5,28,0,130,6,7,0,13,14266,Yes,Yes,Yes,No,17,0,1,1,1,0,5,pamporovo,,,,
374,Abetone-?Val di Luce,44.1314375,10.6306384,Italy,Europe,30,December - April,1892,1240,14,28,1,43,0,110,6,10,1,17,24056,Yes,Yes,No,No,7,0,1,1,0,0,5,abetone val di luce,492.0,Abetone/Val di Luce,961.8,492.0
375,Gerlitzen,46.69476,13.9143318,Austria,Europe,45,December - April,1000,520,10,27,3,40,7,120,10,7,1,18,22220,Yes,Yes,No,No,1,0,1,1,0,0,5,gerlitzen,213.0,Gerlitzen,1013.7,213.0
376,Paganella-Andalo,46.1572963,11.00551108,Italy,Europe,40,November - April,2125,1030,9,22,1,32,6,0,4,12,2,18,23996,Yes,Yes,Yes,No,7,0,1,1,1,0,6,paganella andalo,180.0,Paganella,1021.6,180.0
377,Melchsee-Frutt-Kerns-,46.77452445,8.271634234,Switzerland,Europe,44,December - April,2255,1080,20,6,10,36,0,110,5,4,2,11,14150,Yes,Yes,Yes,No,6,0,1,1,1,0,5,melchsee frutt kerns,326.0,Melchsee-Frutt,988.5,326.0
378,Vall de Nu?ria,42.3944498,2.1549868,Spain,Europe,30,Unknown,1964,912,4,2,1,7,0,0,3,1,2,6,4840,Yes,No,No,No,18,0,1,0,0,0,0,vall de nu ria,1289.0,Vall de Núria,893.4,1289.0
379,Are?ches-Beaufort-,45.66298915,6.566319098,France,Europe,29,December - April,2300,1050,15,20,15,50,0,45,9,5,0,14,14462,Yes,Yes,No,No,8,0,1,1,0,0,5,are ches beaufort,297.0,Arêches,994.1,297.0
380,S?pindleru?v Mly?n,50.7256448,15.6067567,Czech Republic,Europe,34,December - April,1235,702,8,13,2,23,0,0,17,6,0,23,21638,Yes,Yes,Yes,No,29,0,1,1,1,0,5,s pindleru v mly n,,,,
381,Les Mosses-?La Le?cherette,46.3960939,7.1018391,Switzerland,Europe,31,December - April,1870,1445,10,30,0,40,0,0,14,0,0,14,10540,Yes,No,No,No,6,0,1,0,0,0,5,les mosses la le cherette,571.0,Les Mosses/La Lécherette,948.5,571.0
382,Dizin,36.0508147,51.4155456,Iran,Asia,31,November - May,3506,2530,5,9,4,18,4,0,9,4,5,18,18760,Yes,Yes,No,No,30,4,1,1,0,0,7,dizin,,,,
383,Gala Yuzawa-?Ishiuchi Maruyama,36.9502508,138.7995543,Japan,Asia,35,December - May,1181,256,10,9,6,25,6,0,1,24,2,27,39400,Yes,Yes,Yes,No,15,4,1,1,1,0,6,gala yuzawa ishiuchi maruyama,87.0,Yuzawa Kogen/Gala Yuzawa/Ishiuchi Maruyama,1063.0,87.0
384,YongPyong Resort,37.645906,128.681814,South Korea,Asia,57,November - April,1438,700,2,11,10,23,0,0,1,14,1,16,27400,Yes,No,Yes,No,31,4,1,0,1,0,6,yongpyong,,,,
385,Cimone-Montecreto-?Sestola-?Le Polle,45.97985,11.0630167,Italy,Europe,35,November - April,1976,900,15,25,10,50,0,0,6,13,1,20,23746,Yes,Yes,No,No,7,0,1,1,0,0,6,cimone montecreto sestola le polle,359.0,Cimone,981.6,359.0
386,Luchon Superbagne?res,42.768303,0.5780217,France,Europe,34,December - April,1440,635,16,10,6,32,0,180,7,5,1,13,15965,Yes,Yes,No,No,8,0,1,1,0,0,5,luchon superbagne res,832.0,Luchon-Superbagnères,922.8,832.0
387,High1 Resort,37.207294,128.824816,South Korea,Asia,0,December - April,1367,690,4,7,9,20,0,0,1,6,4,11,26685,Yes,No,No,No,31,4,1,0,0,0,5,high1,,,,
388,La Parva,-33.3355943,-70.2899972,Chile,South America,60,June - October,3574,2653,12,20,6,38,6,0,9,4,0,13,13740,Yes,Yes,No,Yes,4,3,1,1,0,1,5,la parva,,,,
389,Le?lex-?Crozet,46.3026091,5.9407475,France,Europe,28,December - March,900,640,16,7,4,27,0,120,15,2,2,19,16750,Yes,Yes,No,No,8,0,1,1,0,0,4,le lex crozet,770.0,Lélex/Crozet,927.7,770.0
390,Alpika Service,43.667196,40.246821,Russia,Europe,0,December - April,2228,535,10,10,5,25,0,0,1,1,7,9,18120,Yes,No,No,No,21,0,1,0,0,0,5,alpika service,,,,
391,Sinaia,45.3456607,25.5479283,Romania,Europe,32,Unknown,880,834,3,11,4,18,0,0,2,3,4,9,9864,Yes,No,No,No,32,0,1,0,0,0,0,sinaia,,,,
392,Furano,43.3419744,142.383188,Japan,Asia,42,November - May,1202,245,15,13,2,30,0,0,2,8,2,12,12650,Yes,Yes,Yes,No,15,4,1,1,1,0,7,furano,157.0,Furano,1028.9,157.0
393,Gourette-Eaux Bonnes-,42.9438107,-0.3291295,France,Europe,38,December - April,2450,1350,18,13,4,35,0,158,4,5,3,12,19660,Yes,Yes,No,No,8,0,1,1,0,0,5,gourette eaux bonnes,526.0,Gourette,954.9,526.0
394,Whiteface-Lake Placid,44.36586225,-73.83531534,USA,North America,79,November - April,1340,371,7,15,13,35,3,250,1,9,1,11,14200,Yes,Yes,No,No,10,1,1,1,0,0,6,whiteface lake placid,441.0,Whiteface,968.0,441.0
395,Rauriser Hochalmbahnen-Rauris,47.223392,12.990109,Austria,Europe,43,December - April,2175,940,15,12,5,32,10,35,6,1,3,10,11927,Yes,Yes,No,No,1,0,1,1,0,0,5,rauriser hochalmbahnen rauris,269.0,Rauriser Hochalmbahnen,999.3,269.0
396,Hoch-Ybrig-Unteriberg-?Oberiberg,47.01175015,8.787310015,Switzerland,Europe,46,December - April,1850,1035,15,30,5,50,5,0,8,5,1,14,16650,Yes,Yes,No,No,6,0,1,1,0,0,5,hoch ybrig unteriberg oberiberg,339.0,Hoch-Ybrig,985.8,339.0
397,Meran 2000,46.6655583,11.3071256,Italy,Europe,39,December - March,1609,648,12,25,3,40,5,0,3,5,2,10,9478,Yes,Yes,No,No,7,0,1,1,0,0,4,meran 2000,410.0,Meran 2000,973.4,410.0
398,Na?tschen-Andermatt,46.65201925,8.622667027,Switzerland,Europe,44,December - March,2344,1444,8,5,8,21,0,0,1,4,2,7,13600,Yes,No,No,No,6,0,1,0,0,0,4,na tschen andermatt,2347.0,Lantsch/Lenz,848.6,2347.0
399,Hoshino Resorts Tomamu,43.065765,142.63264,Japan,Asia,42,Unknown,1239,520,7,7,6,20,0,0,0,10,1,11,12400,Yes,No,No,No,15,4,1,0,0,0,0,hoshino resorts tomamu,327.0,Hoshino Resorts Tomamu,988.2,327.0
400,Albiez-Montrond,45.2174088,6.340903,France,Europe,25,December - April,2200,1500,25,7,3,35,0,0,8,5,0,13,10432,Yes,No,No,No,8,0,1,0,0,0,5,albiez montrond,882.0,Albiez-Montrond,919.5,882.0
401,Tarvisio-Monte Lussari,46.4817326,13.5208066,Italy,Europe,35,December - April,1752,754,9,11,5,25,0,0,5,8,2,15,17354,Yes,Yes,Yes,No,7,0,1,1,1,0,5,tarvisio monte lussari,449.0,Tarvisio,966.6,449.0
402,Mount Parnassos-Fterolakka-?Kellaria,38.547732,22.589641,Greece,Europe,30,Unknown,2300,1600,18,15,3,36,0,0,9,3,5,17,20052,Yes,No,No,No,33,0,1,0,0,0,0,mount parnassos fterolakka kellaria,,,,
403,Moelltal Glacier-Mo?lltaler Gletscher-,46.980483,13.050646,Austria,Europe,47,June - May,2108,1222,5,7,4,16,3,45,2,5,2,9,15610,Yes,Yes,No,Yes,1,0,1,1,0,1,12,moelltal glacier mo lltaler gletscher,216.0,Moelltal Glacier,1012.8,216.0
404,Wendelstein-Brannenburg-?Osterhofen,49.3559425,11.1441047,Germany,Europe,35,December - March,1723,791,0,7,4,11,0,0,2,0,2,4,3250,Yes,No,No,No,5,0,1,0,0,0,4,wendelstein brannenburg osterhofen,512.0,Wendelstein,958.3,512.0
405,Glenshee,56.7410308,-3.3999352,United Kingdom,Europe,33,December - April,900,650,24,10,2,36,0,6,18,3,0,21,16255,Yes,No,No,No,9,0,1,0,0,0,5,glenshee,,,,
406,Sulden am Ortler-Solda all'Ortles-,46.5090706,10.59678748,Italy,Europe,41,November - May,3250,1900,17,13,14,44,11,0,4,6,3,13,15418,Yes,Yes,Yes,No,7,0,1,1,1,0,7,sulden am ortler solda all ortles,217.0,Sulden am Ortler,1012.7,217.0
407,The Summit at Snoqualmie,47.424462,-121.417071,USA,North America,67,December - April,1180,800,5,13,9,27,3,0,6,17,0,23,30400,Yes,Yes,Yes,No,10,1,1,1,1,0,5,the summit at snoqualmie,552.0,The Summit at Snoqualmie,950.6,552.0
408,Poiana Bras?ov,45.5967098,25.5561895,Romania,Europe,32,December - April,1799,1021,5,2,5,12,0,145,5,2,3,10,11038,Yes,No,Yes,No,32,0,1,0,1,0,5,poiana bras ov,,,,
409,Hinterstoder-Ho?ss,47.66612225,14.17403784,Austria,Europe,44,December - April,2000,600,12,18,10,40,7,267,15,2,2,19,18464,Yes,Yes,No,No,1,0,1,1,0,0,5,hinterstoder ho ss,207.0,Hinterstoder,1015.1,207.0
410,St. Jean Montclar,44.411775,6.3510526,France,Europe,28,December - April,2500,1350,25,20,5,50,0,0,10,4,0,14,13320,Yes,No,No,No,8,0,1,0,0,0,5,st jean montclar,,,,
411,Port del Comte,42.1694417,1.5696298,Spain,Europe,33,Unknown,2310,1745,20,15,5,40,0,0,11,5,0,16,13750,Yes,No,No,No,18,0,1,0,0,0,0,port del comte,756.0,Port del Comte,928.8,756.0
412,Ta?nndalen,62.5423638,12.3360263,Sweden,Europe,41,Unknown,1038,743,20,15,3,38,0,0,15,2,0,17,19270,Yes,No,No,No,19,0,1,0,0,0,0,ta nndalen,454.0,Tänndalen,966.0,454.0
413,Feldberg-Seebuck-?Grafenmatt-?Fahl,47.86345025,8.070282232,Germany,Europe,35,December - April,1448,888,7,14,5,26,3,0,9,5,0,14,17624,Yes,Yes,No,No,5,0,1,1,0,0,5,feldberg seebuck grafenmatt fahl,421.0,Feldberg,971.3,421.0
414,Pitztal Glacier-Pitztaler Gletscher-,46.926915,10.87096,Austria,Europe,48,September - May,2685,1740,3,16,0,19,4,0,3,1,3,7,10935,Yes,Yes,No,No,1,0,1,1,0,0,9,pitztal glacier pitztaler gletscher,131.0,Pitztal Glacier,1035.7,131.0
415,Kiroro,34.7525668,135.4329789,Japan,Asia,42,Unknown,1180,570,8,10,10,28,0,0,0,8,1,9,13800,Yes,No,Yes,No,15,4,1,0,1,0,0,kiroro,127.0,Kiroro,1038.4,127.0
416,Tauplitz-Bad Mitterndorf,47.57728095,13.98478445,Austria,Europe,41,December - April,896,812,18,18,6,42,6,135,14,4,1,19,18525,Yes,No,No,No,1,0,1,0,0,0,5,tauplitz bad mitterndorf,222.0,Tauplitz,1011.1,222.0
417,Hochoetz-Oetz,47.22172465,11.02137443,Austria,Europe,37,December - April,1410,820,12,21,3,36,5,89,7,6,2,15,17422,Yes,Yes,No,No,1,0,1,1,0,0,5,hochoetz oetz,292.0,Hochoetz,995.1,292.0
418,Rosshu?tte-Seefeld,47.330727,11.1998705,Austria,Europe,44,December - April,2064,1230,10,9,1,20,4,208,8,3,2,13,12363,Yes,Yes,Yes,No,1,0,1,1,1,0,5,rosshu tte seefeld,313.0,Rosshütte,990.7,313.0
419,Malbun,47.102619,9.6083069,Liechtenstein,Europe,42,December - April,2000,1600,11,9,3,23,4,16,6,3,0,9,8800,Yes,Yes,No,No,34,0,1,1,0,0,5,malbun,2886.0,Buchserberg-Malbun,828.5,2886.0
420,S?pic?a?k,50.2975226,17.0116784,Czech Republic,Europe,23,December - April,1202,854,3,3,0,6,1,30,11,1,0,12,7390,Yes,Yes,Yes,No,29,0,1,1,1,0,5,s pic a k,,,,
421,Riesneralm-Donnersbachwald,47.37659935,14.10532135,Austria,Europe,40,December - April,1820,950,15,12,3,30,7,137,5,3,0,8,6880,Yes,No,No,No,1,0,1,0,0,0,5,riesneralm donnersbachwald,446.0,Riesneralm,966.9,446.0
422,Berwang-?Bichlbach-?Rinnen,47.4131478,10.74173242,Austria,Europe,42,December - April,1743,1067,24,10,1,35,3,130,11,3,1,15,15623,Yes,No,Yes,No,1,0,1,0,1,0,5,berwang bichlbach rinnen,381.0,Berwang/Bichlbach/Rinnen,978.1,381.0
423,Glungezer-Tulfes,47.2075977,11.5283837,Austria,Europe,30,December - April,2304,950,7,15,0,22,15,2,6,2,0,8,7116,Yes,Yes,No,No,1,0,1,1,0,0,5,glungezer tulfes,510.0,Glungezer,959.1,510.0
424,Fanningberg,47.1489018,13.6932252,Austria,Europe,41,December - April,2115,1497,11,5,7,23,4,36,4,2,0,6,7162,Yes,Yes,No,No,1,0,1,1,0,0,5,fanningberg,621.0,Fanningberg,942.5,621.0
425,Tamarack Resort,44.6700061,-116.1225024,USA,North America,59,December - April,2347,1490,12,20,10,42,0,14,2,5,0,7,8700,Yes,Yes,No,No,10,1,1,1,0,0,5,tamarack,414.0,Tamarack Resort,972.7,414.0
426,Turracher Ho?he,46.91448535,13.87352444,Austria,Europe,45,November - May,2205,1400,14,24,3,41,3,220,12,5,1,18,18268,Yes,Yes,Yes,No,1,0,1,1,1,0,7,turracher ho he,302.0,Turracher Höhe,992.3,302.0
427,Indoor ski area Snow Arena-Druskininkai,54.03173,23.960042,Lithuania,Europe,29,Year-round,163,97,1,0,0,1,0,16,4,1,0,5,2800,Yes,Yes,Yes,Yes,35,0,1,1,1,1,0,indoor arena druskininkai,,,,
428,Niedere-Andelsbuch-?Bezau,47.4002902,9.9376361,Austria,Europe,31,December - March,1715,655,5,4,1,10,0,2,5,2,1,8,6043,Yes,No,No,No,1,0,1,0,0,0,4,niedere andelsbuch bezau,812.0,Niedere – Andelsbuch/Bezau,924.2,812.0
429,Summit Ski Area at Mt. Hood,45.303419,-121.745667,USA,North America,26,December - April,1312,1216,2,2,0,4,1,2,0,1,0,1,1200,Yes,No,No,No,10,1,1,0,0,0,5,summit at hood,640.0,Snow Summit,940.3,640.0
430,Wurzeralm-Spital am Pyhrn,47.6279977,14.3162785,Austria,Europe,41,December - April,1870,810,10,10,2,22,4,57,5,2,1,8,9048,Yes,No,No,No,1,0,1,0,0,0,5,wurzeralm spital am pyhrn,319.0,Wurzeralm,990.1,319.0
431,Pra?bichl-Vordernberg,47.5208498,14.9512205,Austria,Europe,37,December - April,1608,1100,6,11,3,20,0,90,4,2,0,6,6624,Yes,Yes,No,No,1,0,1,1,0,0,5,pra bichl vordernberg,2394.0,Baumschlagerberg,846.8,2394.0
432,Pfelders-Moos in Passeier-,46.7952778,11.0895074,Italy,Europe,33,December - April,2502,1601,5,9,4,18,0,35,4,1,1,6,4300,Yes,Yes,Yes,No,7,0,1,1,1,0,5,pfelders moos in passeier,444.0,Pfelders,967.3,444.0
433,Mitterdorf-Almberg- Mitterfirmiansreut,48.888874,13.643595,Germany,Europe,23,December - March,1139,841,2,2,1,5,2,31,9,1,0,10,6266,Yes,No,Yes,No,5,0,1,0,1,0,4,mitterdorf almberg mitterfirmiansreut,921.0,Mitterdorf,916.2,921.0
434,Lavarone,45.94128935,11.28863808,Italy,Europe,36,December - April,1650,1150,19,5,2,26,0,70,9,6,0,15,12040,Yes,No,No,No,7,0,1,0,0,0,5,lavarone,649.0,Lavarone,939.2,649.0
435,Bolton Valley,39.3455111,-78.7571921,USA,North America,63,December - April,960,440,15,10,5,30,3,100,1,5,0,6,7200,Yes,Yes,Yes,No,10,1,1,1,1,0,5,bolton,857.0,Bolton Valley,921.2,857.0
436,Geißkopf-Bischofsmais,48.9240769,13.0374226,Germany,Europe,24,December - March,1116,835,1,5,0,6,2,16,8,1,0,9,6950,Yes,Yes,Yes,No,5,0,1,1,1,0,4,geisskopf bischofsmais,1028.0,Geißenkopf,908.3,1028.0
437,Donovaly-Park Snow-,48.8878953,19.2468587,Slovakia,Europe,26,Unknown,1361,914,5,5,0,10,2,30,23,1,1,25,13620,Yes,Yes,Yes,No,26,0,1,1,1,0,0,donovaly,,,,
438,Kobla-Bohinj,46.2338617,13.9650643,Slovenia,Europe,22,December - March,1480,540,12,10,1,23,0,30,3,3,0,6,5720,Yes,No,No,No,16,0,1,0,0,0,4,kobla bohinj,,,,
439,Sudelfeld-Bayrischzell,47.6717401,12.04163164,Germany,Europe,33,Unknown,1563,850,5,24,3,32,4,100,10,5,0,15,17477,Yes,Yes,No,No,5,0,1,1,0,0,0,sudelfeld bayrischzell,286.0,Sudelfeld,995.9,286.0
440,Gru?ntenlifte-Kranzegg-Rettenberg-,47.5824873,10.3212662,Germany,Europe,31,December - April,1700,900,2,14,0,16,0,12,8,1,0,9,7420,Yes,Yes,No,No,5,0,1,1,0,0,5,gru ntenlifte kranzegg rettenberg,2390.0,Grevenstein – Ostenberg,846.9,2390.0
441,Grebenzen-St. Lambrecht,47.0536954,14.33034179,Austria,Europe,34,December - March,1870,1010,2,9,0,11,6,25,6,1,0,7,6790,Yes,No,No,No,1,0,1,0,0,0,4,grebenzen st lambrecht,634.0,Grebenzen,940.8,634.0
442,Kirchdorf,47.57562605,12.38734435,Austria,Europe,30,December - March,780,640,3,2,0,5,1,6,3,1,0,4,3570,Yes,No,No,No,1,0,1,0,0,0,4,kirchdorf,1789.0,Kirchdorf,869.8,1789.0
443,Nebelhorn-Oberstdorf,47.4218727,10.3423461,Germany,Europe,44,December - May,2224,828,2,5,4,11,7,30,3,2,3,8,5990,Yes,No,No,No,5,0,1,0,0,0,6,nebelhorn oberstdorf,149.0,Nebelhorn,1031.1,149.0
444,Lachtal,47.2524874,14.3682392,Austria,Europe,41,December - April,2222,1600,7,16,2,25,3,53,8,2,0,10,10620,Yes,No,No,No,1,0,1,0,0,0,5,lachtal,529.0,Lachtal,954.2,529.0
445,Ramsau am Dachstein-Rittisberg,47.4185564,13.5929847,Austria,Europe,36,December - March,1636,1035,14,10,1,25,3,40,14,1,0,15,10815,Yes,No,No,No,1,0,1,0,0,0,4,ramsau am dachstein rittisberg,547.0,Ramsau am Dachstein – Rittisberg,951.5,547.0
446,Bu?rchen-?To?rbel-Moosalp,46.251276,7.829707,Switzerland,Europe,39,December - March,2550,1480,5,15,5,25,8,7,8,1,0,9,7470,Yes,No,Yes,No,6,0,1,0,1,0,4,bu rchen to rbel moosalp,415.0,Bürchen/Törbel – Moosalp,972.5,415.0
447,Guzet,42.7762455,1.3131615,France,Europe,31,December - March,2100,1100,20,14,6,40,0,100,11,4,0,15,11130,Yes,Yes,No,No,8,0,1,1,0,0,4,guzet,472.0,Guzet,964.2,472.0
448,Montage Mountain Resort,41.349713,-75.662134,USA,North America,53,December - March,594,285,2,4,3,9,0,270,2,5,0,7,8800,Yes,Yes,Yes,No,10,1,1,1,1,0,4,montage,1236.0,Montage Mountain,896.5,1236.0
449,Schetteregg-Egg,47.4167682,9.9826655,Austria,Europe,32,November - March,1325,1070,3,6,1,10,1,6,7,1,0,8,6642,Yes,Yes,No,No,1,0,1,1,0,0,5,schetteregg egg,1111.0,Schetteregg,904.3,1111.0
450,Fichtelberg-Oberwiesenthal,50.4291364,12.9547281,Germany,Europe,26,December - April,1215,911,6,6,2,14,2,141,6,2,1,9,7384,Yes,Yes,Yes,No,5,0,1,1,1,0,5,fichtelberg oberwiesenthal,899.0,Fichtelberg,917.9,899.0
451,Bellwald,46.4237017,8.1599477,Switzerland,Europe,45,December - April,1600,1204,9,21,6,36,6,26,3,2,1,6,4620,Yes,Yes,No,No,6,0,1,1,0,0,5,bellwald,416.0,Bellwald,972.3,416.0
452,Klewenalp-?Stockhu?tte-Beckenried-?Emmetten,46.9391136,8.4741614,Switzerland,Europe,45,December - April,1200,436,15,25,0,40,0,0,9,3,2,14,13394,Yes,No,No,No,6,0,1,0,0,0,5,klewenalp stockhu tte beckenried emmetten,477.0,Klewenalp/Stockhütte,963.8,477.0
453,Scho?neck-Skiwelt-,50.2056,8.83333,Germany,Europe,20,December - March,760,620,1,1,0,2,1,16,5,1,0,6,4324,Yes,Yes,Yes,No,5,0,1,1,1,0,4,scho neck skiwelt,1292.0,Schönneck (Skiwelt),893.2,1292.0
454,Bia?ka Tatrzan?ska-Kotelnica-?Kanio?wka-?Bania,49.3946417,20.1050528,Poland,Europe,23,December - April,910,680,12,3,0,15,1,0,7,1,0,8,28020,Yes,Yes,Yes,No,27,0,1,1,1,0,5,bia ka tatrzan ska kotelnica kanio wka bania,,,,
455,S?trbske? Pleso,49.1191897,20.063955,Slovakia,Europe,35,December - April,1840,1376,2,5,0,7,3,52,5,3,0,8,7700,Yes,Yes,No,No,26,0,1,1,0,0,5,s trbske pleso,,,,
456,Gaissau-Hintersee,47.7147891,13.23800875,Austria,Europe,35,March,1567,750,23,10,0,33,0,0,6,3,0,9,10110,Yes,Yes,No,No,1,0,1,1,0,0,1,gaissau hintersee,561.0,Gaissau-Hintersee,949.7,561.0
457,Sandia Peak,35.2100445,-106.4496496,USA,North America,47,Unknown,2630,1999,8,20,3,31,0,0,1,4,1,6,4000,Yes,No,No,No,10,1,1,0,0,0,0,sandia peak,1466.0,Sandia Peak,883.5,1466.0
458,Kellerjoch-Schwaz,47.3302137,11.71804485,Austria,Europe,29,April,857,545,5,2,2,9,4,5,4,2,0,6,3786,Yes,No,No,No,1,0,1,0,0,0,1,kellerjoch schwaz,878.0,Kellerjoch,919.8,878.0
459,Aillons-Marge?riaz,45.60283055,6.098268696,France,Europe,19,Unknown,1785,1370,18,4,1,23,0,0,7,1,0,8,10025,Yes,No,No,No,8,0,1,0,0,0,0,aillons marge riaz,1209.0,Aillons-Margériaz,898.3,1209.0
460,Hochrindl-Sirnitz,46.8226776,14.0524733,Austria,Europe,32,December - March,1886,1540,5,11,3,19,2,30,11,1,0,12,7350,Yes,Yes,Yes,No,1,0,1,1,1,0,4,hochrindl sirnitz,778.0,Hochrindl,926.9,778.0
461,La Bresse-Hohneck,48.03400165,6.983339743,France,Europe,29,December,1350,872,13,7,1,21,0,300,12,6,0,18,21515,Yes,No,Yes,No,8,0,1,0,1,0,1,la bresse hohneck,926.0,La Bresse – Hohneck,915.6,926.0
462,Silbersattel-Steinach,50.4399275,11.1511781,Germany,Europe,19,December - April,842,590,2,1,0,3,0,6,3,1,0,4,3300,Yes,Yes,No,No,5,0,1,1,0,0,5,silbersattel steinach,1293.0,Silbersattel,893.1,1293.0
463,Gornaya Karusel,43.683048,40.266475,Russia,Europe,22,December - April,960,540,4,15,1,20,0,0,3,1,0,4,15740,Yes,No,No,No,21,0,1,0,0,0,5,gornaya karusel,,,,
464,Lammeralm-Langenwang,47.60520455,15.58475687,Austria,Europe,29,December - March,1230,980,2,3,2,7,0,24,2,6,3,11,2800,Yes,No,No,No,1,0,1,0,0,0,4,lammeralm langenwang,1444.0,Gaberl/Plankogel,884.9,1444.0
465,Kitzbu?heler Horn,47.476123,12.4297939,Austria,Europe,40,December - April,2000,800,6,9,2,17,7,55,7,2,0,9,10110,Yes,Yes,No,No,1,0,1,1,0,0,5,kitzbu heler horn,318.0,Kitzbüheler Horn,990.2,318.0
466,Myrkdalen,60.8420056,6.4666278,Norway,Europe,44,November - May,1060,450,13,12,4,29,3,32,2,4,3,9,10279,Yes,Yes,Yes,No,0,0,1,1,1,0,7,myrkdalen,329.0,Myrkdalen,987.5,329.0
467,Shymbulak-Chimbulak-,43.1388747,77.0710684,Kazakhstan,Asia,24,Unknown,2260,1626,4,10,6,20,0,0,6,4,0,10,8790,Yes,No,No,No,36,4,1,0,0,0,0,shymbulak chimbulak,,,,
468,Loser-Altaussee,47.6607391,13.7710285,Austria,Europe,40,December - April,1770,850,18,12,3,33,9,50,3,2,3,8,11114,Yes,Yes,No,No,1,0,1,1,0,0,5,loser altaussee,354.0,Loser,982.4,354.0
469,Christlum-Achenkirch,47.50747545,11.67908871,Austria,Europe,44,December - April,1800,950,6,16,5,27,4,0,9,4,0,13,12843,Yes,Yes,No,No,1,0,1,1,0,0,5,christlum achenkirch,333.0,Christlum,987.1,333.0
470,Grasgehren-Bolgengrat,47.4425742,10.1761213,Germany,Europe,25,November - April,1700,1400,3,8,0,11,2,10,5,1,0,6,5140,Yes,Yes,No,No,5,0,1,1,0,0,6,grasgehren bolgengrat,923.0,Grasgehren,916.0,923.0
471,Crystal Mountain-WA-,46.9281666,-121.504535,USA,North America,63,November - May,2137,1341,8,27,15,50,0,0,2,9,1,12,20500,Yes,Yes,No,No,10,1,1,1,0,0,7,crystal wa,115.0,Crystal Mountain,1043.7,115.0
472,Go?tschen-Bischofswiesen,47.6495716,12.9380903,Germany,Europe,25,December - April,1307,880,2,1,4,7,2,35,2,1,0,3,4000,Yes,No,Yes,No,5,0,1,0,1,0,5,go tschen bischofswiesen,2772.0,Bischofsreut,831.8,2772.0
473,Torrent-Leukerbad,46.3728566,7.6541765,Switzerland,Europe,46,December - April,2610,1411,3,26,16,45,11,40,8,1,5,14,11390,Yes,Yes,No,No,6,0,1,1,0,0,5,torrent leukerbad,283.0,Leukerbad,996.6,283.0
474,Monte Popolo-Eben im Pongau,47.4041442,13.41875165,Austria,Europe,36,December - April,1612,862,4,2,0,6,3,55,2,2,0,4,4550,Yes,Yes,No,No,1,0,1,1,0,0,5,monte popolo eben im pongau,582.0,Monte Popolo,947.3,582.0
475,Sun Mountain-Yabuli,44.9293976,128.6043934,China,Asia,0,November - April,1375,457,3,19,13,35,0,0,4,2,0,6,13776,Yes,No,No,No,37,4,1,0,0,0,6,sun yabuli,696.0,Sun Valley Resort,933.9,696.0
476,Jochgrimm-Passo Oclini-,46.3473164,11.4515353,Italy,Europe,17,December - April,2250,1850,4,2,1,7,0,20,0,3,5,8,3540,Yes,No,No,No,7,0,1,0,0,0,5,jochgrimm passo oclini,1531.0,Jochgrimm,880.6,1531.0
477,Alpe Lusia-Moena-?Bellamonte,46.3390273,11.70654171,Italy,Europe,47,December - April,2340,1370,12,10,4,26,0,0,3,3,4,10,16280,Yes,Yes,No,No,7,0,1,1,0,0,5,alpe lusia moena bellamonte,238.0,Alpe Lusia,1007.5,238.0
478,Unternberg-Ruhpolding-,47.7293144,12.6401193,Germany,Europe,20,December - March,1417,710,1,1,0,2,1,15,3,1,0,4,3350,Yes,No,Yes,No,5,0,1,0,1,0,4,unternberg ruhpolding,896.0,Unternberg,918.0,896.0
