ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,Yes,Yes,No,1,0,1,1,1,0,5,serfaus fiss ladis,28.0,Serfaus-Fiss-Ladis,1118.7,28.0
102,Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,Yes,Yes,No,1,0,1,1,1,0,5,hochko nig maria alm dienten mu hlbach,,,,
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,47.1672188,11.8638664,Austria,Europe,52,December - April,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,Yes,No,No,1,0,1,1,0,0,5,mayrhofen penken ahorn rastkogel eggalm,16.0,Mayrhofen,1137.1,16.0
104,St. Anton (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,Yes,No,No,1,0,1,1,0,0,5,st anton arlberg,8.0,Ski Arlberg (St.Anton),1166.5,8.0
105,Axamer Lizum,47.1943801,11.3030187,Austria,Europe,38,November - April,2340,1580,7,21,2,30,3,0,3,6,1,10,13322,Yes,Yes,No,No,1,0,1,1,0,0,6,axamer lizum,301.0,Axamer Lizum,992.3,301.0
106,Flachau (Ski amedé),47.3438501,13.3922888,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No,1,0,1,1,0,0,6,flachau amede,2511.0,Rodel Jet – Flachau,841.8,2511.0
107,Ski Juwel Alpbachtal Wildscho?nau,47.395203,11.92651,Austria,Europe,46,December - April,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,Yes,Yes,No,1,0,1,1,1,0,5,juwel alpbachtal wildscho nau,151.0,Ski Juwel,1030.2,151.0
108,Ischgl,46.9862824,10.27451769,Austria,Europe,52,November - May,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,Yes,No,No,1,0,1,1,0,0,7,ischgl,24.0,Silvretta Arena (Ischgl),1122.6,24.0
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,52,November - April,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,Yes,No,No,1,0,1,1,0,0,6,bad gastein,94.0,Bad Gastein/Bad Hofgastein,1057.7,94.0
110,Gargellen,46.9721035,9.9187223,Austria,Europe,47,December - April,2300,1423,20,5,2,27,6,83,5,3,1,9,10650,Yes,Yes,No,No,1,0,1,1,0,0,5,gargellen,423.0,Gargellen,971.0,423.0
